"GEO_ID","NAME","B08301_001E","B08301_001M","B08301_002E","B08301_002M","B08301_003E","B08301_003M","B08301_004E","B08301_004M","B08301_005E","B08301_005M","B08301_006E","B08301_006M","B08301_007E","B08301_007M","B08301_008E","B08301_008M","B08301_009E","B08301_009M","B08301_010E","B08301_010M","B08301_011E","B08301_011M","B08301_012E","B08301_012M","B08301_013E","B08301_013M","B08301_014E","B08301_014M","B08301_015E","B08301_015M","B08301_016E","B08301_016M","B08301_017E","B08301_017M","B08301_018E","B08301_018M","B08301_019E","B08301_019M","B08301_020E","B08301_020M","B08301_021E","B08301_021M",
"Geography","Geographic Area Name","Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!Car, truck, or van:","Margin of Error!!Total:!!Car, truck, or van:","Estimate!!Total:!!Car, truck, or van:!!Drove alone","Margin of Error!!Total:!!Car, truck, or van:!!Drove alone","Estimate!!Total:!!Car, truck, or van:!!Carpooled:","Margin of Error!!Total:!!Car, truck, or van:!!Carpooled:","Estimate!!Total:!!Car, truck, or van:!!Carpooled:!!In 2-person carpool","Margin of Error!!Total:!!Car, truck, or van:!!Carpooled:!!In 2-person carpool","Estimate!!Total:!!Car, truck, or van:!!Carpooled:!!In 3-person carpool","Margin of Error!!Total:!!Car, truck, or van:!!Carpooled:!!In 3-person carpool","Estimate!!Total:!!Car, truck, or van:!!Carpooled:!!In 4-person carpool","Margin of Error!!Total:!!Car, truck, or van:!!Carpooled:!!In 4-person carpool","Estimate!!Total:!!Car, truck, or van:!!Carpooled:!!In 5- or 6-person carpool","Margin of Error!!Total:!!Car, truck, or van:!!Carpooled:!!In 5- or 6-person carpool","Estimate!!Total:!!Car, truck, or van:!!Carpooled:!!In 7-or-more-person carpool","Margin of Error!!Total:!!Car, truck, or van:!!Carpooled:!!In 7-or-more-person carpool","Estimate!!Total:!!Public transportation (excluding taxicab):","Margin of Error!!Total:!!Public transportation (excluding taxicab):","Estimate!!Total:!!Public transportation (excluding taxicab):!!Bus","Margin of Error!!Total:!!Public transportation (excluding taxicab):!!Bus","Estimate!!Total:!!Public transportation (excluding taxicab):!!Subway or elevated rail","Margin of Error!!Total:!!Public transportation (excluding taxicab):!!Subway or elevated rail","Estimate!!Total:!!Public transportation (excluding taxicab):!!Long-distance train or commuter rail","Margin of Error!!Total:!!Public transportation (excluding taxicab):!!Long-distance train or commuter rail","Estimate!!Total:!!Public transportation (excluding taxicab):!!Light rail, streetcar or trolley (carro público in Puerto Rico)","Margin of Error!!Total:!!Public transportation (excluding taxicab):!!Light rail, streetcar or trolley (carro público in Puerto Rico)","Estimate!!Total:!!Public transportation (excluding taxicab):!!Ferryboat","Margin of Error!!Total:!!Public transportation (excluding taxicab):!!Ferryboat","Estimate!!Total:!!Taxicab","Margin of Error!!Total:!!Taxicab","Estimate!!Total:!!Motorcycle","Margin of Error!!Total:!!Motorcycle","Estimate!!Total:!!Bicycle","Margin of Error!!Total:!!Bicycle","Estimate!!Total:!!Walked","Margin of Error!!Total:!!Walked","Estimate!!Total:!!Other means","Margin of Error!!Total:!!Other means","Estimate!!Total:!!Worked from home","Margin of Error!!Total:!!Worked from home",
"1400000US06075012601","Census Tract 126.01; San Francisco County; California","1535","263","475","133","343","116","132","74","29","27","96","70","0","13","7","12","0","13","376","142","376","142","0","13","0","13","0","13","0","13","8","14","7","11","46","37","96","64","68","69","459","208",
"1400000US06075012602","Census Tract 126.02; San Francisco County; California","1869","349","506","142","433","133","73","48","60","47","13","16","0","13","0","13","0","13","474","157","466","154","0","13","8","14","0","13","0","13","97","73","30","33","36","28","54","52","54","49","618","235",
"1400000US06075012700","Census Tract 127; San Francisco County; California","2887","446","1041","325","926","303","115","89","75","81","16","27","0","13","0","13","24","40","464","201","464","201","0","13","0","13","0","13","0","13","19","32","79","112","0","13","181","130","99","89","1004","287",
"1400000US06075012801","Census Tract 128.01; San Francisco County; California","1549","257","635","266","428","177","207","187","207","187","0","13","0","13","0","13","0","13","198","139","198","139","0","13","0","13","0","13","0","13","0","13","0","13","42","65","159","118","0","13","515","125",
"1400000US06075012802","Census Tract 128.02; San Francisco County; California","1336","317","229","111","176","103","53","52","25","40","14","23","0","13","0","13","14","23","262","171","262","171","0","13","0","13","0","13","0","13","25","39","0","13","155","205","69","90","31","36","565","234",
"1400000US06075012901","Census Tract 129.01; San Francisco County; California","2103","358","596","292","520","280","76","55","72","55","4","7","0","13","0","13","0","13","426","119","411","121","0","13","15","23","0","13","0","13","31","41","48","54","61","50","125","90","33","25","783","182",
"1400000US06075012902","Census Tract 129.02; San Francisco County; California","2578","304","739","203","549","143","190","117","48","46","22","26","42","48","0","13","78","86","738","224","738","224","0","13","0","13","0","13","0","13","200","154","39","48","147","111","94","81","48","46","573","192",
"1400000US06075013001","Census Tract 130.01; San Francisco County; California","1201","209","535","159","445","155","90","77","73","69","0","13","0","13","0","13","17","28","203","114","195","114","0","13","8","13","0","13","0","13","112","79","0","13","97","86","148","101","21","26","85","68",
"1400000US06075013002","Census Tract 130.02; San Francisco County; California","1767","427","353","168","302","164","51","52","16","32","0","13","0","13","0","13","35","41","397","261","397","261","0","13","0","13","0","13","0","13","0","13","0","13","0","13","159","110","66","92","792","282",
"1400000US06075013101","Census Tract 131.01; San Francisco County; California","2877","440","516","177","329","128","187","127","130","115","0","13","0","13","17","26","40","47","587","153","518","145","45","42","0","13","15","24","9","16","74","53","17","27","34","26","506","202","302","256","841","312",
"1400000US06075013102","Census Tract 131.02; San Francisco County; California","1740","325","618","266","539","260","79","59","14","18","11","17","34","42","0","13","20","25","286","132","286","132","0","13","0","13","0","13","0","13","0","13","9","16","46","48","143","105","50","36","588","177",
"1400000US06075013200","Census Tract 132; San Francisco County; California","2277","405","714","229","523","190","191","139","170","127","0","13","21","35","0","13","0","13","289","138","289","138","0","13","0","13","0","13","0","13","127","180","18","29","62","51","207","130","142","148","718","257",
"1400000US06075013300","Census Tract 133; San Francisco County; California","1991","268","743","194","622","160","121","76","79","63","0","13","0","13","0","13","42","47","486","150","474","148","0","13","12","18","0","13","0","13","37","46","0","13","71","110","133","77","20","23","501","174",
