OBJECTID,LOC_ID,LOCATION,NODELAYER,CNN,TIME,YR2006_PM,YR2007_PM,YR2008_PM,YR2009_PM,YR2010_PM,YR2011_PM,YR2013_PM,YR2014_PM,YR2015_PM,YR2011PADJ,GLOBALID,YR2016_PM,YR2017_PM,shape,data_as_of,data_loaded_at,analysis_neighborhood,supervisor_district,Analysis Neighborhoods,Neighborhoods,SF Find Neighborhoods,Current Police Districts,Current Supervisor Districts
648,91,16th St & 4th St,,37.766839999999995,"122° 23' 27.600"" W",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,POINT (-122.391 37.76684),03/06/2020 01:12:44 PM,,Mission Bay,6,4,34,34,1,10
618,62,Sloat Blvd & 34th Ave,,37.73413,"122° 29' 27.600"" W",-1,-1,-1,-1,-1,-1,32,32,23,-1,,-1,-1,POINT (-122.491 37.73413),03/06/2020 01:12:11 PM,,Sunset/Parkside,4,35,40,40,10,7
622,66,Polk St & North Point St,,37.80529,"122° 25' 26.400"" W",-1,-1,-1,-1,-1,-1,265,265,268,-1,,-1,-1,POINT (-122.424 37.80529),03/06/2020 01:12:15 PM,,Russian Hill,2,32,98,98,6,6
585,29,Arguello Blvd & Lake St/ Sacramento,,37.786919999999995,"122° 27' 32.400"" W",136,165,175,233,112,-1,150,150,187,-1,,-1,-1,POINT (-122.459 37.78692),03/06/2020 01:11:37 PM,,Presidio Heights,2,31,10,10,8,6
601,45,Mission St & Cortland Ave,,37.741009999999996,"122° 25' 22.800"" W",-1,-1,-1,-1,-1,117,60,60,55,0,,-1,-1,POINT (-122.423 37.74101),03/06/2020 01:19:20 PM,,Bernal Heights,9,2,83,83,9,2
672,115,Silver Ave & San Bruno Ave,,37.73245,"122° 24' 21.600"" W",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,POINT (-122.406 37.73245),03/06/2020 01:13:09 PM,,Portola,9,25,91,91,2,2
656,99,Valencia St & 18th St,,37.76171,"122° 25' 19.200"" W",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,POINT (-122.422 37.76171),03/06/2020 01:12:52 PM,,Mission,9,20,37,37,3,5
615,59,Howard St & Beale St,,37.789919999999995,"122° 23' 38.400"" W",-1,-1,-1,-1,-1,-1,198,198,222,-1,,-1,-1,POINT (-122.394 37.78992),03/06/2020 01:12:08 PM,,Financial District/South Beach,6,8,108,108,1,10
662,105,Baker St & Beach St,,37.80328,"122° 26' 49.200"" W",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,POINT (-122.447 37.80328),03/06/2020 01:12:58 PM,,Marina,2,13,17,17,4,6
579,23,Page St & Scott St,,37.77242,"122° 26' 9.600"" W",376,420,578,613,689,1240,1209,1209,1055,1053,,892,943,POINT (-122.436 37.77242),03/06/2020 01:17:34 PM,,Haight Ashbury,5,3,26,26,4,11
646,90,North Point St & The Embarcadero,,37.80739,"122° 24' 25.200"" W",-1,-1,-1,-1,-1,-1,678,678,532,0,,-1,-1,POINT (-122.407 37.80739),03/06/2020 01:20:18 PM,,North Beach,3,23,99,99,6,3
591,35,17th/Market St & Castro,,37.76264,"122° 26' 6.000"" W",-1,-1,-1,-1,-1,136,40,40,125,0,,-1,-1,POINT (-122.435 37.76264),03/06/2020 01:19:24 PM,,Castro/Upper Market,8,5,38,38,3,5
614,58,Oak St & Baker St,,37.7727,"122° 26' 27.600"" W",-1,-1,-1,-1,-1,-1,176,176,194,-1,,-1,-1,POINT (-122.441 37.7727),03/06/2020 01:12:07 PM,,Golden Gate Park,5,12,24,24,7,11
